,firstCQs
0,What is a styrofoam fastener?
2,What are the following st air dimensions?
3,What is the range of deflection for concentric or eccentric diffusers?
7,What is the eed for full Appendix design assessment?
10,What is bitumen dipped?
12,What is Reclamation and how can it be used?
15,What is gui dance from IW?
18,What is the least squares method for stand sizes?
19,What would occur on typical residential estate distributor road?
20,What is a Lightning Protection?
22,What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?
25,What should rotors or impellers be?
29,When to use a jar stirrer?
32,What is a sacrificial anode?
35,What is a kerb line?
38,What is a sprinkler ead?
42,What are the requirements for LV switchboards and motor control?
46,What is a Brand ames?
50,What is ilter backwashing sequence?
52,What are the minimum separation distances for Gas Network Ireland infrastructure?
56,What is a cistern?
59,What is ew Table and te xt?
61,What is a defect on a personal computer screen laptop screen?
63,What is anode eplaced?
66,What is The Saw Tooth method?
70,What is the cost of hydraul ic testing?
72,What is a Star Delta Electrical Contractor?
75,What is the ominal diameter of the branch in millimeters?
77,What is a stopcock?
79,What is a crawl beam?
82,What is a ut bolt and gasket?
83,What is required for Combined thermal demand and instantaneous ammeters?
85,What is a VSD control panel?
86,What is cavitation vibration air locking?
89,What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?
92,What is a SN stiffness class fitting?
94,What is a Surge arrestor?
96,What is an independent laboratory accredited by the Irish National Accreditation Board?
99,What is a MDP?
103,What is a dial out alarm?
104,What happens when sheathing is to be applied after lini g?
105,What is the jetting resistance of psi Bar?
106,What is a dft?
109,What should be kept clear of fuel oils?
111,What is a Volt Free Contact?
113,What is a phase angle type relay?
116,What is bitumen dipping?
118,What is a GMS signal strength survey?
121,What is the start ode reference?
124,What is the consumption of ach individual household?
125,What is a square deep sump?
126,What is a horizontal rodding eye?
129,What is the City of Cape Town SAP system for extraction of information?
133,What is IS ENVIRONMENTAL CONTROL?
134,What is a Class engineering brick?
135,How to use a laboratory jar stirrer?
138,What are the requirements for lightning protection?
140,What is a preve t erosion?
142,What are the mechanical properties of fasteners made of carbon steel and alloy steel?
145,What is a Hoist Chain?
148,What is a lamp af ter fault?
150,What is a CPR?
154,What is a positive spindle drive?
155,When lifted the grid shall be capable of being secure in the upright position?
158,What is the minimum segregation separation between Band ELV signal and Band LV power cables?
161,What is the use of degreasers and enzymes?
163,What is a hard drive?
164,What is a coal coating?
168,What is a odour control station?
170,What is a cistern positive feature?
173,What is the sludge thickness?
175,What is the maximum resistance ohms?
179,What is a security lighting?
182,What to do if redundant channels are blanked?
184,What is tand size?
188,What is a bucket system?
191,What is the minimum factor of safety aga inst flotation?
194,What does a hydrant consist of?
195,What is Ervian Holdings?
199,What type of sand should be used for plastering?
202,What is the SANS standard for flexible plastic sleeve?
203,What is amenity conservation?
207,What is the primary and secondary windi gs?
209,What is the National Industrial Participation Programme NIPP?
212,What colour LED are ot available?
214,What is the primary app roach?
218,What is a bitumen fibre wrap?
220,What is a ke pt in mind?
223,What are the discharge limits for commercial scale food prepa ration locations?
227,What type of loading bay entrance doors should be provided?
230,What is a yard tank?
231,What is Acrobat Reader?
234,What are the CSA requirements for Analogue signal cabling?
237,What should streetlights look like?
240,What is the Motor Starter Compartment?
242,What is a snore level?
243,What should slewing jib cranes do?
246,What is a Field Terminal Device AMR feature?
248,What is a gland pla te?
249,What is the size of a st opcock?
251,What is a Credit Order Instruction?
253,What is a PLC?
257,What is a wet well cleaning snore cycle?
258,What is the eed for such repair reconstruction or rectification works?
260,What is required in respect of FOG control?
264,What are the colours of ca bles?
266,What is a litre Shires duranite unit?
268,What is a titration?
270,What is a crane structure?
273,What is the requirement for aperture size overflow screens?
275,What is the minimum chromium content?
278,What is a swab?
280,What is the containers freeboard size?
283,What is the life span of a battery?
286,What is a phase induction type fan?
290,What is an epoxy zinc sealer?
293,What is the difference between mm and mm solid concrete block work walls?
294,What is thermal overload protection for motors?
296,What Cables Submersible ump power cables shall be?
297,What is a Stiffness Class SN fitting?
299,What is a RTD?
