source,question
Where pre payment meters are installed  these must take into  naccount the free basic water services...,Where pre payment meters are installed these must take into naccount the free basic water services policy and allow for access to basic amount of nwater at zero tariff
However municipalities are still required to  nplan for projects  feasibility studies  and to submit...,However municipalities are still required to nplan for projects feasibility studies
nWhere this type of meter is not justified mechanical type  meter are acceptable,where this type of meter is not justified
When valves for  nexample are supplied under   separate contract for   pipeline  reservoir  etc,when valves for nexample are supplied under separate contract
When it has been shown  nthat the Contractor has fulfilled all his obligations  the Final Certificat...,When it has been shown nthat the Contractor has fulfilled all his obligations the Final Certificate must be issued
Where  nproposed  specific Irish Water approval shall be sought and the siphon shall be  ndesigned t...,where nproposed specific Irish Water approval shall be sought
Where   orks are being  ncarried out in   phased basis     timeline schedule  of submitting the  as ...,where orks are being ncarried out in phased basis timeline schedule of submitting the as built records
Where crossing over   Water Main is unavoidable   the surface  nwater or Wastewater Sewer crossings ...,where crossing over Water Main is unavoidable
Where bends are  nused  they should be formed with proprietary bends of suitable material  nallowing...,Where bends are nused they should be formed with proprietary bends of suitable material
Where this requirement cannot be met   nthe criterion would be considered to be satisf ied by the fo...,where there is at least one WC connected
Where it is envisaged that there is    njustifiable engineering reason for re  locating the inspecti...,where it is envisaged that there is njustifiable engineering reason for re locating the inspection chambers
Manhole                General      nManhole   should generally be provided as the means of access t...,where the depth from the surface to the crown of the pipe is greater than there are two or more upstream pipes
Where the back drop from the  nSewer  is constructed at right angles to the vertical plane or where ...,where the back drop from the nSewer is constructed at right angles to the vertical plane
Where precast concrete rings  nare used with cast  in situ concrete bases  the bottom ring unit shal...,where precast concrete rings nare used with cast in situ concrete bases
nThe per son who causes the damage to   Water Main  or Sewer or any accessories  will  nbe deemed to...,who causes the damage to Water Main or Sewer
Where the trench base is through rock or shows recurrence of hard objects   nthe material shall be e...,Where the trench base is through rock or shows recurrence of hard objects
Where th is is unavoidable  the fittings bolts  nshall be wrapped in protective  non  biodegradable ...,where th is is unavoidable
Where access is from    ntraffic  sensitive street or other major road or where parking is not avail...,Where access is from ntraffic sensitive street or other major road
Where there are multiple Sewer   draining to the pumping station site   IW CDS      Revision        ...,where there are multiple Sewer draining to the pumping station site
This shall only be  nused where the maximum groundwater level is accurately known  or  if not reliab...,where the maximum groundwater level is accurately known
Where there is   risk of traffic loading on  nthe cover  it shall be capable of withstanding such lo...,where there is risk of traffic loading on nthe cover it shall be capable of withstanding such loadings
Where mechanical ventilation is deemed necessary  it shall be of robust  ndesign and all control equ...,where mechanical ventilation is deemed necessary it shall be of robust ndesign
Where the seal is providing   barrier between hazardous and non   nhazardous areas    transit plate ...,where the seal is providing barrier between hazardous and non nhazardous areas
Control circuit supplies shall be energised when the associated fuse switch is  nin the  On  positio...,when the associated fuse switch is nin the On position
Where  ntarget freeboa rd cannot be achieved Wastewater Asset Planning shall be consulted,Where ntarget freeboa rd cannot be achieved
Where self  cleansing velocities  ncannot be achieved due to constraints  Irish Water shall be consu...,Where self cleansing velocities ncannot be achieved due to constraints
Where the toilet overspills due to blockage and flushing mo re  nthan once this shall not be classif...,where the toilet overspills due to blockage and flushing mo re nthan once shall not be classified as internal flooding
When assessing the capacity of  nthe connected existing land drainage systems care shall be taken to...,When assessing the capacity of nthe connected existing land drainage systems care shall be taken to use appropriate nroughness values
The   paragraph has been amended to outline that where  nadditional security is required or where sp...,where nadditional security is required
uf    The sealant systems outlined below are acceptable  where appropriate for the particular  nappl...,where appropriate for the particular napplication
Where the plumbing design cannot accommodate   combination hot water cylinder   na pressurised syste...,where the plumbing design cannot accommodate combination hot water cylinder
