text,extracted_phrases,cluster,matched_cq_index,similarity,matched_cq_text,matched_cq_phrases
The Water Services Act is included in the Legislation and Policy Folder,Water Services Act Legislation Policy Folder - include,0,232,0.6151724,What is the policy of the government?,policy government - 
However municipalities are still required to plan for projects feasibility studies and to submit Water Services Project Technical Report to the appropriate DWAF Office for recommendation before releasing funds for water services proje cts,municipalities projects feasibility studies Water Services Project Technical Report DWAF Office recommendation funds water services proje cts - require plan submit release,0,199,0.5508498,What is Wastewater arising from such developments?,Wastewater developments - arise
In order to ensure safe working conditions and to limit the risk of pollution entering the groundwater abstraction facility borehole sites are also affected by the existence of manmade structures such as roads pipelines emetries sewage plants overhead powerlines buildings etc,order conditions risk pollution groundwater abstraction facility borehole sites existence manmade structures roads pipelines emetries sewage plants overhead powerlines buildings - ensure work limit enter affect,0,385,0.48353356,What shall the Contractor do to ensure the safe and efficient handling of all pipes and fittings?,Contractor handling pipes fittings - do ensure
The hydrogeologis is responsible to ensure that the required and appropriate calibration multi rate draw down constant discharge and related recovery tests are conducted to the required standards by on site and controlled supervision of testing contractors,hydrogeologis calibration multi rate discharge recovery tests standards site supervision testing contractors - ensure draw conduct require control,0,228,0.5333754,What is the supply authority for metering points?,supply authority metering points - 
Borehole pumps can be powered by means of line upply electricity solar power or diesel power,Borehole pumps means line electricity power diesel power - power,0,171,0.5465346,What type of pipe is supplied?,type pipe - supply
In this case special measures are required prevent outflanking of the structure by large floods,case measures prevent outflanking structure floods - require,0,318,0.5705061,What is the average dry weather flow?,weather flow - 
Manual operation is to be provided as far as possible due to the low cost and lower mainten ance,operation cost ance - provide,0,275,0.67508143,What is the cost of this?,cost - 
The construction and functioning of wall mounted sluice gates which have positive spindle drives are more fully described below,construction functioning wall sluice gates spindle drives - mount have describe,0,6,0.69061744,What is a positive spindle drive?,spindle drive - 
The construction and functioning of wall mounted sluice gates which have positive spindle drives are more fully described below,construction functioning wall sluice gates spindle drives - mount have describe,0,6,0.69061744,What is a positive spindle drive?,spindle drive - 
Departmental designs for such gates for operation under low head conditions are also av ailable for water heads in the order of maximum of meters,designs gates operation head conditions water heads order maximum meters - ,0,285,0.52174073,What is the minimum water usage of lcd?,water usage lcd - 
Pumpset and pipework out of balance thrust loads must be adequately restrained by concrete or steel supports and pipework must be supported to the floor or walls within the pump station,balance thrust loads concrete steel supports pipework floor walls pump station - pumpset pipework restrain support,0,359,0.40655762,What happens when pressure of water is applied to the pipework?,pressure water pipework - happen apply
In typical community water supply size of pump station motor or pump bearings as well as pump glands eed ot be monitored,community water supply size pump station motor bearings glands eed ot - pump pump monitor,0,225,0.5337592,What is the difference between a pump and motor?,difference pump motor - 
The contactor should ot be required to clear these types of faults,contactor types faults - require clear,0,26,0.55952036,What is a lamp af ter fault?,lamp ter fault - 
uf Fast acting circu it breakers should be used in all instances,circu breakers instances - act use,0,291,0.6058047,What is the impact of the Works on the environment?,impact Works environment - 
