,questions
0,What is a bucket system?
3,What is Acrobat Reader?
6,What is the Municipal Infrastructure Unit MIU?
7,What solar means are available for small power requirements?
10,What is the problem with weirs siltation?
11,What is a preve t erosion?
13,What is a positive spindle drive?
14,What is a styrofoam fastener?
16,What are the requirements of the Occupa tional Health and Safety Act?
18,What is a crane structure?
21,What is a crawl beam?
24,What is required to remove the hoist units after each use?
25,What should slewing jib cranes do?
28,What is a screening of intake works?
31,What is recommended for turbid raw waters NTUs?
32,What is the sludge thickness?
34,What is Reclamation and how can it be used?
37,What is ilter backwashing sequence?
39,What type of loading bay entrance doors should be provided?
42,What are the following st air dimensions?
43,What is a hot dip galvanised treatment?
45,What should rotors or impellers be?
49,What should eck rings be fitted with?
51,What is a phase induction type fan?
55,What is a RTD?
59,What colour LED are ot available?
61,What is a lamp af ter fault?
63,What are the requirements for LV switchboards and motor control?
67,What is thermal overload protection for motors?
69,What is a phase angle type relay?
72,What is required for Combined thermal demand and instantaneous ammeters?
74,What is a PLC?
78,What are the requirements for lightning protection?
80,What is a Surge arrestor?
82,What should light switches be placed above finished floor level in accordance with SANS?
86,What should streetlights look like?
89,What are the supply authorities requirements for standby generators?
90,What is a hard drive?
91,What is the difference between uf Solar cells and WIVA chargers?
95,What will Solar ce lls do when o mains power is available?
98,What is the maximum resistance ohms?
102,What is a Lightning Protection?
104,What is a bitumen fibre wrap?
106,What is the consumption of ach individual household?
107,What is a chafing membrane?
109,How long should rubber rings be exposed to ultra violet radiation or ozone?
113,What is the SANS standard for flexible plastic sleeve?
114,What is the range of deflection for concentric or eccentric diffusers?
118,When vailable NPSH is problem?
122,What is a yard tank?
123,What type of sand should be used for plastering?
126,What should the freeboard height above the storage volume be?
129,What pits are the orms?
133,What are the minimum internal dimensions of an oval seat?
136,What is a ke pt in mind?
139,What is a security lighting?
142,What is a titration?
144,What is a chlorine test kit?
147,How to use a laboratory jar stirrer?
150,When to use a jar stirrer?
153,What is the value of chlorine?
156,What is the National Industrial Participation Programme NIPP?
159,What is a Credit Order Instruction?
161,What is a ut bolt and gasket?
162,What is a Brand ames?
166,What is Ervian Holdings?
170,What is the start ode reference?
173,What is a defect on a personal computer screen laptop screen?
175,What is the eed for such repair reconstruction or rectification works?
177,What is a CPR?
181,What is a ozone depleting substance?
185,What is a kerb line?
188,What are the minimum separation distances for Gas Network Ireland infrastructure?
192,What is the eed for full Appendix design assessment?
195,What is the long term roughness value ks?
197,What is the primary app roach?
201,What is IS ENVIRONMENTAL CONTROL?
202,What would occur on typical residential estate distributor road?
203,What is a horizontal rodding eye?
206,What is the difference between mm and mm solid concrete block work walls?
207,What to do if redundant channels are blanked?
209,What is the minimum internal dimensions of the access shaft?
212,Why stringers should be bolted to the support cleats?
215,What is the jetting resistance of psi Bar?
216,What is a SN stiffness class fitting?
218,What shall be the sock et fittings?
