|firstCQs|secondCQs|score
0|What is pulmonary fibrosis?|What was the relationship between the presence of other comorbidities and severity of the disease?|0.7151
1|What is pulmonary fibrosis?|What is the severity of the case?|0.7083
2|What is pulmonary fibrosis?|What was the most reported manifestation for this study?|0.7079
3|What is myocarditis?|?|0.7427
4|What was performed using IBM SPSS Statistics for Windows version IBM Japan Tokyo Japan?|What is the severity of the case?|0.7191
5|What was performed using IBM SPSS Statistics for Windows version IBM Japan Tokyo Japan?|What was the aim of this study?|0.7077
6|What was performed using IBM SPSS Statistics for Windows version IBM Japan Tokyo Japan?|What are the results of this study?|0.7063
7|What was performed using IBM SPSS Statistics for Windows version IBM Japan Tokyo Japan?|?|0.7059
8|What are the options for workplace chat and file storage?|?|0.7498
9|What are the options for workplace chat and file storage?|How might this be implemented in practice?|0.7401
10|What are the options for workplace chat and file storage?|What is the main limitation of the present study?|0.7324
11|What are the options for workplace chat and file storage?|What is the need of the hour?|0.7261
12|What are the clinical benefits of eutralizing anti bodies?|What is the mainstay of clinical treatment?|0.7478
13|What are the clinical benefits of eutralizing anti bodies?|What was the clinical evaluation of the patients included in the present study?|0.7255
14|What are the clinical benefits of eutralizing anti bodies?|What was the cause of these manifestations?|0.722
15|What is eutralizing mAbs against?|What was the most reported manifestation for this study?|0.7479
16|What is eutralizing mAbs against?|What did the subjects suffer from?|0.7469
17|What happened to the pneumonia patients?|What was the clinical evaluation of the patients included in the present study?|0.7455
18|What happened to the pneumonia patients?|What happened to two critically ill patients?|0.745
19|What is pulmonary pathology?|What was the clinical evaluation of the patients included in the present study?|0.7298
20|Why is domestic violence and child abuse on the rise?|How many people lived in their household?|0.7427
21|Why is domestic violence and child abuse on the rise?|What is the severity of the case?|0.7287
22|Why is domestic violence and child abuse on the rise?|?|0.7209
23|Why is domestic violence and child abuse on the rise?|How might this be implemented in practice?|0.7165
24|What is the eed for ICU?|What are the best alternatives for the special educational eeds SEN of these learners?|0.7361
25|What was the percentage of female smokers among male subjects?|What happened to the females?|0.711
26|What was the percentage of female smokers among male subjects?|What was the sample size of the sample?|0.6638
27|What was the percentage of female smokers among male subjects?|What was the purpose of the sampling?|0.663
28|What was the percentage of female smokers among male subjects?|What was the aim of this study?|0.6619
29|What is the correlation between OCI and MLR and SII?|?|0.7383
30|What is the correlation between OCI and MLR and SII?|What was considered statistically significant?|0.737
31|What is the correlation between OCI and MLR and SII?|What are the results of this study?|0.7345
32|What is the risk of cyberbullying?|What is the severity of the case?|0.7149
33|What is the risk of cyberbullying?|What has left children vulnerable to online exploitation?|0.7099
34|What is the risk of cyberbullying?|What are some of the online platforms used so far?|0.7036
35|What is the risk of cyberbullying?|What are the challenges for educators and the government regarding online education?|0.7004
36|What are the markers of exhaustion on cytotoxic lymphocytes?|What is the clinical course of these cytokines?|0.74
37|What are the markers of exhaustion on cytotoxic lymphocytes?|What is an objective marker of the balance between host systemic inflammation and immune response status?|0.7282
38|What are the markers of exhaustion on cytotoxic lymphocytes?|What causes cytokines dysregulation?|0.7233
39|What is lym phopenia?|What was the clinical evaluation of the patients included in the present study?|0.7406
40|What is lym phopenia?|What is the mainstay of clinical treatment?|0.7308
41|What is lym phopenia?|What is the relationship between several factors and severity of the disease?|0.73
42|What does corticosteroids do in severe cases?|What was the relationship between the presence of other comorbidities and severity of the disease?|0.7454
43|What does corticosteroids do in severe cases?|What is the severity of symptoms?|0.7436
44|What does corticosteroids do in severe cases?|What is the severity of the case?|0.7379
45|What does corticosteroids do in severe cases?|What was the clinical evaluation of the patients included in the present study?|0.7351
46|What is hypoactivation of the hypothalamic pituitary adrenal axis?|What are the results of this study?|0.7478
47|What is hypoactivation of the hypothalamic pituitary adrenal axis?|What was the relationship between the presence of other comorbidities and severity of the disease?|0.7475
48|What is hypoactivation of the hypothalamic pituitary adrenal axis?|What was the most reported manifestation for this study?|0.7427
49|What is a mesenchymal stem cell MSC?|What was the aim of this study?|0.7214
50|What is a mesenchymal stem cell MSC?|?|0.7185
51|What is a mesenchymal stem cell MSC?|What are the limitations of this study?|0.7096
52|What is a mesenchymal stem cell MSC?|What are the results of this study?|0.7092
53|What are the virtual classroom platforms like videoconferencing?|What are the alternatives available for the learners and the educators?|0.7487
54|What are the virtual classroom platforms like videoconferencing?|What are the education systems trying to continue imparting quality education for all during these difficult times?|0.7348
55|What are the virtual classroom platforms like videoconferencing?|What are the challenges posed to both educators and the learners?|0.7341
56|What is a complement inhibitor?|How might this be implemented in practice?|0.7457
57|What is a complement inhibitor?|What was the most reported manifestation for this study?|0.7319
