|questions|patterns|similar_question|similarity_score
0|What is a bucket system?|What is EC1?|What is the material used for piping system above ground?|0.7352
1|What is a bucket system?|What is EC1?|What is the Part Specification for Pipes and Fittings for Smooth Internal and External Surfaces and the System Part?|0.7312
2|What is a bucket system?|What is EC1?|What type of pipe is supplied?|0.7251
3|What is Acrobat Reader?|What is EC1?|What is the subject of this document?|0.7433
4|What is Acrobat Reader?|What is EC1?|What must be supplied in both electronic and hard copy?|0.7319
5|What is Acrobat Reader?|What is EC1?|What is the format of this example?|0.7242
6|What is the Municipal Infrastructure Unit MIU?|What is EC1?|What is the delivery of services in urban areas?|0.7447
7|What solar means are available for small power requirements?|What EC1 are available for EC2?|What is the difference between uf Solar cells and WIVA chargers?|0.7495
8|What solar means are available for small power requirements?|What EC1 are available for EC2?|What are the recommended minimum dimensions?|0.7106
9|What solar means are available for small power requirements?|What EC1 are available for EC2?|What are Specific Minimum Requirements?|0.7065
10|What is the problem with weirs siltation?|What is EC1 with EC2?|Why in line eedle valves be used for controlled water outlet from the dam or weir?|0.7462
11|What is a preve t erosion?|What is EC1?|What should anchoring be provided in steep slopes and directional and elevation changes?|0.7471
12|What is a preve t erosion?|What is EC1?|What is the friction generated in the rising main?|0.7463
13|What is a positive spindle drive?|What is EC1?|What is the spin lining?|0.7469
14|What is a styrofoam fastener?|What is EC1?|?|0.7367
15|What is a styrofoam fastener?|What is EC1?|What is the requirement to comply with this Part?|0.7358
16|What are the requirements of the Occupa tional Health and Safety Act?|What are EC1 of EC2?|What does the Department of Health do?|0.7419
17|What are the requirements of the Occupa tional Health and Safety Act?|What are EC1 of EC2?|What is the Occupation Health and Safety Act Act of?|0.7419
18|What is a crane structure?|What is EC1?|What is the extent of the buildings and structured?|0.7363
19|What is a crane structure?|What is EC1?|What is required for the provision of permanent lifting equipment?|0.7342
20|What is a crane structure?|What is EC1?|What should the structures be of?|0.7338
21|What is a crawl beam?|What is EC1?|What size anchor bolts shall be used?|0.7405
22|What is a crawl beam?|What is EC1?|What is required before advancing with the work?|0.734
23|What is a crawl beam?|What is EC1?|What happens when hard standing areas are located over locations that have been excavated?|0.7318
24|What is required to remove the hoist units after each use?|What is PC1 EC1 after EC2?|Where th is is unavoidable?|0.7451
25|What should slewing jib cranes do?|What PC1 PC1 EC1 do?|What size anchor bolts shall be used?|0.718
26|What should slewing jib cranes do?|What PC1 PC1 EC1 do?|What shall the lifting gantry do?|0.7087
27|What should slewing jib cranes do?|What PC1 PC1 EC1 do?|What is required for the provision of permanent lifting equipment?|0.6974
28|What is a screening of intake works?|What is EC1 of EC2?|What is the selection of an appropriate treatment process?|0.7472
29|What is a screening of intake works?|What is EC1 of EC2?|What is the dependable yield of the various sources?|0.7457
30|What is a screening of intake works?|What is EC1 of EC2?|What are the other requirements for indication?|0.7411
31|What is recommended for turbid raw waters NTUs?|What is PC1 EC1?|Where the water source is being further developed?|0.743
32|What is the sludge thickness?|What is EC1?|What is the Code of Practice and Standard Details for Wastewater Infrastructure?|0.7376
33|What is the sludge thickness?|What is EC1?|What is Wastewater arising from such developments?|0.7366
34|What is Reclamation and how can it be used?|What is EC1 and how PC1 EC2 be PC1?|What are the alternative protection measures for the distance where the depth is below the depth limits outlined above?|0.749
35|What is Reclamation and how can it be used?|What is EC1 and how PC1 EC2 be PC1?|What is a damage or contamination?|0.7476
36|What is Reclamation and how can it be used?|What is EC1 and how PC1 EC2 be PC1?|What is contaminated soil disposal requirements?|0.7475
37|What is ilter backwashing sequence?|What is EC1?|What is the cost of such a method?|0.7448
38|What is ilter backwashing sequence?|What is EC1?|What is the cost effective way to minimise its occurrence?|0.7432
39|What type of loading bay entrance doors should be provided?|What type of EC1 PC1 be PC1?|What is the requirement to comply with this Part?|0.7478
40|What type of loading bay entrance doors should be provided?|What type of EC1 PC1 be PC1?|What are the factors to be considered in these instances and the engineer to investigate these factors?|0.7474
41|What type of loading bay entrance doors should be provided?|What type of EC1 PC1 be PC1?|?|0.7412
42|What are the following st air dimensions?|What are EC1?|What is the location of the air valve?|0.7322
43|What is a hot dip galvanised treatment?|What is EC1 PC1 treatment?|What is a corrosion barrier?|0.7334
44|What is a hot dip galvanised treatment?|What is EC1 PC1 treatment?|?|0.7287
45|What should rotors or impellers be?|What should EC1 or EC2 be?|What are the following requirements for motor protection?|0.738
46|What should rotors or impellers be?|What should EC1 or EC2 be?|What should ot be greater than rpm pole?|0.7286
47|What should rotors or impellers be?|What should EC1 or EC2 be?|What shall the common control and motor starters be provided with?|0.7268
48|What should rotors or impellers be?|What should EC1 or EC2 be?|What is a motor protection unit or relay?|0.7025
49|What should eck rings be fitted with?|What PC1 EC1 be PC1?|What is the body of the end ring?|0.7426
50|What should eck rings be fitted with?|What PC1 EC1 be PC1?|What are the requirements of IS EN and IS?|0.7418
51|What is a phase induction type fan?|What is EC1?|What is a phase angle type relay?|0.7335
52|What is a phase induction type fan?|What is EC1?|What is the Electrical Specification of this Part?|0.7106
53|What is a phase induction type fan?|What is EC1?|What changes of direction greater than degrees?|0.698
