source,question
content The COVID pandemic has had huge impact across societies with governments worldwide imposing restrictions of movement and other measures such as mandatory use of face coverings or quarantine to prevent the spread of the virus,What is the impact of the COVID pandemic??
As of October there have been con firmed cases of COVID and confirmed deaths in the UK Hopes of returning to ormality have been pinned on the availability of COVID vaccine and vaccination is central to the UK government COVID recovery strategy Vaccine trials have reported encouraging results indicating that COVID vaccine is safe and produces good immune response,What has been pinned on the availability of COVID vaccine?
It is important to prepare and develop effective policies and messaging for vaccination ow in order to maximize uptake when vaccine becomes available There is wealth of literature investigating factors asso ciated with vaccine uptake,What is the literature on uptake of vaccines??
Research is underpinned by multi ple theories of health behavior including the Health Belief n________________ Model the Theory of Planned Behavior and Protection Motivation Theory Constructs outlined by these theories including threat appraisal coping appraisal cues to action self efficacy perceived benefits and barriers subjective orms perceived behavioral control and attitudes have consistently been associated with uptake of routine vaccination as well as vaccine uptake during the influenza pandemic In addition to these theoretical con structs contextual factors are also known to influence vaccine uptake Perceptions and attitudes are in part driven by these contextual factors such as current events in the ews and how the vaccine is being portrayed in the media,What is perceived behavioral control and attitudes associated with vaccine uptake??
Since coronavirus vaccine is ot yet available we measured intention to have the vaccination rather than uptake,What is the intention to have the coronavirus vaccine??
Previous research around the seasonal influenza and influenza vaccinations has demonstrated that vaccine beliefs and attitudes are related to vaccine intentions which in turn were found to be good predictor of uptake of those vaccinations To date there have been two studies to our knowledge investigating factors associated with intention to be vaccinated against COVID in the UK in clinically vulnerable populations One study found that increased intention to be vaccinated was associated with thinking that the COVID outbreak would last for long time while decreased intention was associated with thinking that the risks of COVID had been exaggerated by the media These results should be interpreted cautiously as they did ot account for the influence of participants sociodemographic characteristics,What is the relationship between vaccine beliefs and attitudes and uptake of vaccines??
The second study investigated associations between vaccine intention and sociodemographic factors finding that decreased intention was associated with younger age and Black and minority ethnicity but did ot investigate the influence of psychological factors on vaccination intention Results from these studies should be interpreted with caution due to the protracted ature of data collection in both studies and the analyses used,What was the association between vaccination intention and sociodemographic factors??
It is likely that COVID vaccination will become available first to those in at risk groups and those who have increased exposure to the virus through their job However vaccination intention in the general population should be investigated as vaccination may be rolled out more widely soon afterward and sufficient uptake will be critical to eliminating COVID,What should be investigated to eliminate COVID vaccination?
Furthermore it remains possibility that people who are ot in at risk groups and do ot have increased exposure to the virus through their job may be able to be vaccinated for COVID privately much like the seasonal influenza vaccine so understanding intentions across the whole population is important The aim of this study was to investigate associations between vaccination intention and theoretically grounded contextual and sociodemographic factors in demographically representative sample of the UK adult population We conducted cross sectional survey between and July,What are the associations between vaccination intention and sociodemographic factors??
Participants completed the survey online on Qualtrics Participants were recruited through Prolific online research panel and were eligible for the study if they were aged years or over and lived in the UK eligible participants,What were the results of the online survey??
Quota sampling was used based on age sex and ethnicity to ensure that the sample was broadly representative of the UK general population,What was the purpose of the sampling??
Participants were paid for completed survey Full survey materials are available online Items were based on previous literature n________________ Personal and clinical characteristics We asked participants to report their age gender ethnicity religion employment status highest educational or profes sional qualification and total household income,What were participants' personal and clinical characteristics??
We also asked participants what UK region they lived in how many people lived in their household whether they or someone else in their household if applicable had chronic illness that made them clinically vulnerable to serious illness from COVID and if they worked or volunteered in roles con sidered critical to the COVID response key worker roles,How many people lived in their household?
Lastly we asked participants if they had been vaccinated for seasonal influenza last winter yes o and how likely they would be to have the seasonal influenza vaccine this winter eleven point scale from extremely unlikely to extremely likely We asked participants to what extent they thought corona virus poses risk to people in the UK and to themselves personally on five point scale from o risk at all to major risk,How likely they would be to have the seasonal influenza vaccine this winter?
We asked participants if they thought they have had or currently have coronavirus,What did participants think they had or currently have coronavirus??
Statements measured theoretical con structs including perceived susceptibility to COVID sever ity of COVID benefits of COVID vaccine barriers to being vaccinated against COVID ability to be vaccinated self efficacy subjective orms behavioral control antici pated regret knowledge trust in the Government and in the NHS,What is perceived susceptibility to COVID??
These items also investigated concerns about commercial profiteering and participants beliefs about vaccination allow ing life to get back to ormal and having to follow social distancing and other restrictions for COVID if vaccinated,What are participants beliefs about COVID if vaccinated??
Participants rated perception statements on an eleven point scale from strongly disagree to strongly agree,What rated perception statements on an eleven point scale??
Order of items was quasi randomized To measure vaccination intention we asked participants to state how likely they would be to have COVID vaccination when coronavirus vaccination becomes available to them on an eleven point scale from extremely unlikely to extremely likely Ethical approval for this study was granted by Keele University Research Ethics Committee reference PS Due to the rapid ature of this research the public was ot involved in the development of the survey materials A target sample size of was chosen to provide high ratio of cases to estimated parameters in order to avoid overfitting and loss of generalizability in the regression model To identify variables associated with an intention to have the COVID vaccination we constructed linear regression model,How likely they would be to have COVID vaccination?
To aid interpretation of the model and to address collinearity in some variables we ran principal component analyses on items investigating beliefs and atti tudes about COVID and COVID vaccination Variables entered into the model were selected priori based on their theoretical relevance o variable selection pro cedures were employed,What variables entered into the model were selected priori??
Five groups of variables were included in the model personal and clinical characteristics seasonal influenza vaccination general beliefs and attitudes relating to vaccination beliefs and attitudes relating to COVID illness and beliefs and attitudes relating to COVID vaccination,What variables were included in the model personal and clinical characteristics seasonal influenza vaccination?
The percentage of variance in the outcome variable explained by each predictor was calculated as the squared semi partial correlation for umerical predictor and the change in attributable to set of dummy variables As well as fitting the full model we also added the groups of variables as successive blocks in hierarchical model to deter mine the incremental increase in the adjusted value as the groups of variables were added to the model Due to the large umber of predictors in the model statis tical significance was set at to control Type errors and confidence intervals CIs were correspondingly calcu lated for the regression coefficients,What was the percentage of variance in the outcome variable explained by each predictor??
Analyses were conducted in SPSS As intended participants were broadly representative of the UK population mean age years SD range to female white ethnicity Table see supplementary materials for further breakdown Descriptive statistics for items assessing psychological fac tors are reported in Tables and,What was intended to determine psychological fac tors??
