text,extracted_phrases,cluster,best_similarity_in_cluster,cq_index
How long should rubber rings be exposed to ultra violet radiation or ozone?,rubber rings violet radiation ozone - expose,0,0.85908794,129
What are the minimum internal dimensions of an oval seat?,dimensions oval seat - ,0,0.8831352,164
What is a motor protection unit or relay?,motor protection unit relay - ,0,0.8630312,192
What is the design of all of these components?,design components - ,0,0.8766864,203
What type of couplings shall be used for jointing to hydrants and valves?,type couplings hydrants valves - use joint,0,0.8809812,220
What would a Class or higher work be?,Class work - ,0,0.8685302,258
What should anchoring be provided in steep slopes and directional and elevation changes?,slopes elevation changes - anchor provide,0,0.95535976,259
What is the electrical scope and limits of contract?,scope limits contract - ,0,0.9491659,279
What are the factors to be considered in these instances and the engineer to investigate these factors?,factors instances engineer factors - consider investigate,0,0.92587256,301
What is the preferred exterior colour of the kiosk?,colour kiosk - prefer,0,0.9272132,321
How and where the electricity is supplied and metered?,electricity - supply meter,0,0.86106896,329
Why not move the VIP toilet when the pit is full?,VIP toilet pit - move,0,0.9866825,346
What is the supply authority requirement regarding earthing?,supply authority requirement - regard,0,0.9406421,357
What is the peak capacity of the feeder pipes and water purification works?,peak capacity feeder pipes water purification - work,0,0.88669467,365
What is the storage capacity requirement?,storage capacity requirement - ,0,0.8566259,375
