text,extracted_phrases,cluster,best_similarity_in_cluster,cq_index
How long should rubber rings be exposed to ultra violet radiation or ozone?,rubber rings violet radiation ozone - expose,0,0.85908794,45
What are the minimum internal dimensions of an oval seat?,dimensions oval seat - ,0,0.8926525,53
What should anchoring be provided in steep slopes and directional and elevation changes?,slopes elevation changes - anchor provide,0,0.95443153,179
What is the requirement to comply with this Part?,requirement Part - comply,0,0.859092,183
What are the factors to be considered in these instances and the engineer to investigate these factors?,factors instances engineer factors - consider investigate,0,0.86784285,205
What is the design of all of these components?,design components - ,0,0.863565,223
What is the electrical scope and limits of contract?,scope limits contract - ,0,0.92611724,246
What is the storage capacity requirement?,storage capacity requirement - ,0,0.8650727,257
Why not move the VIP toilet when the pit is full?,VIP toilet pit - move,0,0.9866825,261
What is the supply authority requirement regarding earthing?,supply authority requirement - regard,0,0.8768564,336
What would a Class or higher work be?,Class work - ,0,0.86032754,354
What is the peak capacity of the feeder pipes and water purification works?,peak capacity feeder pipes water purification - work,0,0.88669467,387
What type of couplings shall be used for jointing to hydrants and valves?,type couplings hydrants valves - use joint,0,0.8848107,388
