text,extracted_phrases,cluster,matched_cq_index,similarity,matched_cq_text,matched_cq_phrases
iii In respect of water feeder systems the peak capacities of the feeder pipes and water purification works should be ment ioned,respect water feeder systems peak capacities feeder pipes water purification works - ione,0,365,0.88669467,What is the peak capacity of the feeder pipes and water purification works?,peak capacity feeder pipes water purification - work
There are many factors to be considered in these instances and it will be up to the engineer to investigate these factors,factors instances engineer factors - be consider investigate,0,301,0.92587256,What are the factors to be considered in these instances and the engineer to investigate these factors?,factors instances engineer factors - consider investigate
The design of all of these components are discussed in following sections,design components sections - discuss follow,0,203,0.8766864,What is the design of all of these components?,design components - 
versatile multifunction motor protection unit or relay is therefore to be used,multifunction motor protection unit relay - use,0,192,0.8630312,What is a motor protection unit or relay?,motor protection unit relay - 
uf The supply authority requirements regarding earthing must be taken into consideration,supply authority requirements consideration - regard take,0,357,0.9406421,What is the supply authority requirement regarding earthing?,supply authority requirement - regard
Rubber rings should ot be exposed to ultra violet radiation or ozone for periods longer than the time required for installation,Rubber rings violet radiation ozone periods time installation - expose require,0,129,0.85908794,How long should rubber rings be exposed to ultra violet radiation or ozone?,rubber rings violet radiation ozone - expose
Alternative ly it should be possible for the VIP toilet to be moved when the pit is full,VIP toilet pit - move,0,346,0.9866825,Why not move the VIP toilet when the pit is full?,VIP toilet pit - move
The minimum internal dimensions of an oval seat are mm and mm and for round seat the diameter is mm,dimensions oval seat mm seat diameter mm - ,0,164,0.8831352,What are the minimum internal dimensions of an oval seat?,dimensions oval seat - 
Usually they would only be ecessary on Class or higher works,Class works - ,0,258,0.8685302,What would a Class or higher work be?,Class work - 
uf The electrical scope and limits of contract must be clearly defined,scope limits contract - define,0,279,0.9491659,What is the electrical scope and limits of contract?,scope limits contract - 
uf The tenderers must be informed as to how and where the electricity is supplied and metered,tenderers electricity - inform supply meter,0,329,0.86106896,How and where the electricity is supplied and metered?,electricity - supply meter
The required storage capacity will depend on the size of the Development,storage capacity size Development - depend,0,375,0.8503376,What is the storage capacity requirement?,storage capacity requirement - 
The required storage capacity will depend on the size of the Development,storage capacity size Development - depend,0,375,0.8566259,What is the storage capacity requirement?,storage capacity requirement - 
The preferred exterior colour of the kiosk is dark green to BS,colour kiosk BS - ,0,321,0.9272132,What is the preferred exterior colour of the kiosk?,colour kiosk - prefer
uf Adequate anchoring should provided especially in steep slopes and directional and elevation changes,anchoring slopes elevation changes - provide,0,259,0.95535976,What should anchoring be provided in steep slopes and directional and elevation changes?,slopes elevation changes - anchor provide
Only approved push home or mechanical type couplings shall be used for jointing to plain ended specials valves and hydrants,push home type couplings specials valves hydrants - approve use joint end,0,220,0.8809812,What type of couplings shall be used for jointing to hydrants and valves?,type couplings hydrants valves - use joint
