|firstCQs|secondCQs|score
0|What is a styrofoam fastener?|?|0.7367
1|What is a styrofoam fastener?|What is the requirement to comply with this Part?|0.7358
2|What are the following st air dimensions?|What is the location of the air valve?|0.7322
3|What is the range of deflection for concentric or eccentric diffusers?|What is the most favourable alternative?|0.7471
4|What is the range of deflection for concentric or eccentric diffusers?|What should be used as far as possible?|0.7466
5|What is the range of deflection for concentric or eccentric diffusers?|What shall ot be the minus tolerance in isolated areas?|0.7456
6|What is the range of deflection for concentric or eccentric diffusers?|What has been included in the following definitions?|0.7431
7|What is the eed for full Appendix design assessment?|What is the eed for such repair reconstruction or rectification works?|0.7477
8|What is the eed for full Appendix design assessment?|When eeded this access shall be by way of safe access?|0.7311
9|What is the eed for full Appendix design assessment?|What is a design criterion?|0.7216
10|What is bitumen dipped?|What should be laid in soil that is contaminated with petrol oil?|0.7212
11|What is bitumen dipped?|What is the subject of this document?|0.7086
12|What is Reclamation and how can it be used?|What are the alternative protection measures for the distance where the depth is below the depth limits outlined above?|0.749
13|What is Reclamation and how can it be used?|What is a damage or contamination?|0.7476
14|What is Reclamation and how can it be used?|What is contaminated soil disposal requirements?|0.7475
15|What is gui dance from IW?|What is the Self Lay Surety?|0.6916
16|What is gui dance from IW?|?|0.6893
17|What is gui dance from IW?|What is required in Section above?|0.6822
18|What is the least squares method for stand sizes?|What are the recommended minimum dimensions?|0.7141
19|What would occur on typical residential estate distributor road?|?|0.7476
20|What is a Lightning Protection?|what is the depth of the protection measures?|0.7444
21|What is a Lightning Protection?|What is a security lighting?|0.7414
22|What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?|What should the tap be of?|0.7441
23|What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?|What is Drains and associated access accessories upstream of the boundary of the Premises?|0.7332
24|What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?|What shall the Contractor do to ensure the safe and efficient handling of all pipes and fittings?|0.7289
25|What should rotors or impellers be?|What are the following requirements for motor protection?|0.738
26|What should rotors or impellers be?|What should ot be greater than rpm pole?|0.7286
27|What should rotors or impellers be?|What shall the common control and motor starters be provided with?|0.7268
28|What should rotors or impellers be?|What is a motor protection unit or relay?|0.7025
29|When to use a jar stirrer?|What is the container positioned away from the sides?|0.7243
30|When to use a jar stirrer?|What is a container to stand on?|0.6903
31|When to use a jar stirrer?|What is the format of this example?|0.686
32|What is a sacrificial anode?|?|0.7414
33|What is a sacrificial anode?|What is the cost of such a method?|0.7367
34|What is a sacrificial anode?|What is the most favourable alternative?|0.7362
35|What is a kerb line?|What is a ke pt in mind?|0.7299
36|What is a kerb line?|What is the format of this example?|0.7272
37|What is a kerb line?|what is outlined above for the kiosk?|0.727
38|What is a sprinkler ead?|What happens when these flows discharge without treatment to watercourses or land drainage systems?|0.7456
39|What is a sprinkler ead?|What happens when pressure of water is applied to the pipework?|0.7428
40|What is a sprinkler ead?|What is the maximum allowed drop after allowing for evaporation and rainfall?|0.7359
41|What is a sprinkler ead?|What is the average dry weather flow?|0.7347
42|What are the requirements for LV switchboards and motor control?|What shall the common control and motor starters be provided with?|0.7218
43|What are the requirements for LV switchboards and motor control?|What is the voltage of the control circuit supply voltage?|0.7094
44|What are the requirements for LV switchboards and motor control?|What is the design of all of these components?|0.7066
45|What are the requirements for LV switchboards and motor control?|What is a manual switch?|0.7005
46|What is a Brand ames?|What is the manufacturers recommendation?|0.7437
47|What is a Brand ames?|What should be used as far as possible?|0.7436
48|What is a Brand ames?|What has been included in the following definitions?|0.7392
49|What is a Brand ames?|What is included in this agreement?|0.7364
50|What is ilter backwashing sequence?|What is the cost of such a method?|0.7448
51|What is ilter backwashing sequence?|What is the cost effective way to minimise its occurrence?|0.7432
52|What are the minimum separation distances for Gas Network Ireland infrastructure?|What is the risk of toxic fumes dangerous gasses?|0.7438
53|What are the minimum separation distances for Gas Network Ireland infrastructure?|What is the Transport Infrastructure Ireland Specification for Road Works?|0.7209
54|What are the minimum separation distances for Gas Network Ireland infrastructure?|What is the need for this separation distance?|0.7191
55|What are the minimum separation distances for Gas Network Ireland infrastructure?|What is an Irish Standard IS?|0.7032
56|What is a cistern?|?|0.7435
57|What is a cistern?|What are the following proformas?|0.7332
58|What is a cistern?|What should be used as far as possible?|0.7331
59|What is ew Table and te xt?|What can occur at the outset of ew development?|0.7467
60|What is ew Table and te xt?|What does the Developer provide for ew Development?|0.7425
61|What is a defect on a personal computer screen laptop screen?|What should a defect be found?|0.75
62|What is a defect on a personal computer screen laptop screen?|What is the minimum water usage of lcd?|0.7386
63|What is anode eplaced?|?|0.7467
64|What is anode eplaced?|What should be used as far as possible?|0.7448
65|What is anode eplaced?|What has been included in the following definitions?|0.7441
66|What is The Saw Tooth method?|What are the requirements of this Code of Practice?|0.7156
67|What is The Saw Tooth method?|What is the minimum distance between cut in and cut out levels?|0.7136
68|What is The Saw Tooth method?|?|0.7125
69|What is The Saw Tooth method?|What is this Code of Practice?|0.7026
70|What is the cost of hydraul ic testing?|What type of couplings shall be used for jointing to hydrants and valves?|0.7414
71|What is the cost of hydraul ic testing?|What are the results of these tests?|0.7149
72|What is a Star Delta Electrical Contractor?|What is the Developer Developers Electrical Contractors responsibility?|0.7466
73|What is a Star Delta Electrical Contractor?|What general conditions are applicable to civil design and mechanical electrical engineering?|0.7268
74|What is a Star Delta Electrical Contractor?|What is the Department Specifications on Electrical Installations?|0.7262
75|What is the ominal diameter of the branch in millimeters?|What is the ominal diameter of a pipe?|0.7433
76|What is the ominal diameter of the branch in millimeters?|What are the criteria for the use of branch or saddle connections?|0.7407
77|What is a stopcock?|What is a pipe stop plug?|0.7292
78|What is a stopcock?|What is a start stop?|0.7173
79|What is a crawl beam?|What size anchor bolts shall be used?|0.7405
80|What is a crawl beam?|What is required before advancing with the work?|0.734
81|What is a crawl beam?|What happens when hard standing areas are located over locations that have been excavated?|0.7318
82|What is a ut bolt and gasket?|What is an appropriate technical specification?|0.7379
