text,extracted_phrases,cluster,matched_cq_index,similarity,matched_cq_text,matched_cq_phrases
Residual Pressures above GL minimum at point of delivery where possible,Residual Pressures GL minimum point delivery - ,0,261,0.50706124,What is the yield stress on the steel?,yield stress steel - 
uf Drawings prepared by the Consulting Engineer must bear partners or directors signature,Drawings Consulting Engineer partners directors signature - prepare bear,0,203,0.5898666,What is the design of all of these components?,design components - 
The borehole is protected from foreign material by means of lockable cap fitted to the borehole collar,borehole material means cap borehole collar - protect fit,0,368,0.5718871,What is a corrosion barrier?,corrosion barrier - 
uf The ability of the pumping plant to commence operation under the full static head conditions of the pump unit,ability pumping plant operation head conditions pump unit - commence,0,336,0.58205855,What is the difference between a pump and motor?,difference pump motor - 
They will therefore eed to be constructed of concrete or other on erodable material,concrete material - eed construct,0,324,0.6756655,What is the extent of the buildings and structured?,extent buildings - structure
Dam outlet works having ertically placed outlets may be isolated by means of rubber lined steel sphere or tapered plug,Dam outlet outlets means rubber steel sphere plug - work have place isolate line taper,0,227,0.5403067,What is a pipe stop plug?,pipe stop plug - 
These however only serve as service closure mechanisms to isolate pipe entrances under balanced hydrostatic conditions,service closure mechanisms pipe entrances conditions - serve isolate,0,199,0.65457624,What happens when pressure of water is applied to the pipework?,pressure water pipework - happen apply
To prevent deterioration of the hoist units due to outdoor exposure they should be removed directly after each use and suitably stored for future use as may be required,deterioration units exposure use use - prevent remove store require,0,180,0.62582207,What is a damage or contamination?,damage contamination - 
Departmental Specification Description DWS Supply installation and commissioning of water treatment pla t equipment,Departmental Specification Description DWS Supply installation commissioning water treatment pla t equipment - ,0,224,0.6249517,What is the Department Specifications on Electrical Installations?,Department Specifications Electrical Installations - 
uf Manual ove rride switch for starting and stopping of pumps,Manual rride switch pumps - start stop,0,227,0.60726595,What is a pipe stop plug?,pipe stop plug - 
Fixed and sturdy ventilated louvers with insect screens must be provided instead,louvers insect screens - fix ventilate provide,0,331,0.48225474,What shall be the ducting?,ducting - 
Guidelines for the development of water and sanitation infrastructure Control valves Flow and pressure control valves are ot acceptable,Guidelines development water sanitation infrastructure Control valves pressure control valves ot - flow,0,277,0.6472056,What is the Code of Practice and Standard Details for Wastewater Infrastructure?,Code Practice Standard Details Wastewater Infrastructure - 
A pump delivery pressure sensor should be located between the pump de livery flange and the reflux or other control valve,pump delivery pressure sensor pump livery flange reflux control valve - locate,0,171,0.69872344,What is the location of the air valve?,location air valve - 
Flow meters Usually ultrasonic flowmeters should be used where electronic type metering is required,meters flowmeters type metering - use require,0,329,0.712569,How and where the electricity is supplied and metered?,electricity - supply meter
SANS and other standard specifications as set out in the GTSE as well as regulations of Eskom and local authorities must be followed where applicable,SANS specifications GTSE regulations Eskom authorities - set follow,0,330,0.6498246,What is the Electrical Specification of this Part?,Specification Part - 
SANS and other standard specifications as set out in the GTSE as well as regulations of Eskom and local authorities must be followed where applicable,SANS specifications GTSE regulations Eskom authorities - set follow,0,330,0.6498246,What is the Electrical Specification of this Part?,Specification Part - 
