source,question
content Guidelines for the development of water and sanitation infrastructure INTRODUCTION Municipalities have Constitutional responsibility for providing sustainable and viable water services to the communities within their areas of jurisdiction,What is the Constitutional responsibility of Municipalities for providing sustainable and viable water services to the communities within their areas of jurisdiction?
The purpose of these guidelines is to assist municipalities undertake the development of water and sanitation infrastructure with focus on the design aspects of development,What is the purpose of these guidelines??
Further guidelines are in the process of being developed for Water Services Development Plans social aspects and operation and maintenance of water services projects,What are the social aspects and operation and maintenance of water services projects??
Purpose of guidelines It is important to ote that these guidelines uf ARE MERELY INTENDED TO GIVE GUIDANCE TO MUNICIPAL OFFICIALS PLANNERS AND DESIGNERS uf Are ot intended to replace professional expertise and engineering judgement uf Provide overarching guidance and cannot be used as replacement for specifications uf Must be used together with recognised standards codes and acts such as those of the South African Bureau of Standards SANS Codes the Water Services Act the National Water Act and the Occupational Health and Safety Act These guidelines are made available through two media uf CD has been distributed which contains this document as well as umber of useful folders,What is the purpose of guidelines??
The DWAF web page also contains the same folders that are included on the CD Guidelines for the development of water and sanitation infrastructure Definitions of minimum orms and standards The aim of Water Services projects funded out of government grants is primarily to provide basic level of water services,What is the aim of Water Services projects funded out of government grants??
Section of the Strategic Frame work for Water Services provides the minimum technical orms and standards for water services,What is the Strategic Frame work for Water Services??
The Strategic Framework is included in the Legislation and Policy Folder,What is the Strategic Framework for Legislation and Policy Folder??
The following definitions and minimum standards are given in the Strategic Framework Basic water supply facility is The infrastructure ecessary to supply litres of potable water per person per day supplied within metres of household and with minimum flow of litres per minute in the case of communal water points or litres of potable water supplied per formal connection per month in the case of yard or house connections,What is a basic water supply facility??
Basic water supply service is The provision of basic water supply facility the sustainable operation of the facility available for at least days per year and ot interrupted for more than consecutive hours per incident and the communication of good water use hygiene and related practices,What is Basic Water Supply Service??
Basic sanitation facility is The infrastructure ecessary to provide sanitation facility whic is safe reliable private protected from the weather and ventilated keeps smells to the minimum is easy to keep clean minimises the risk of the spread of sanitation related diseases by facilitating the appropriate control of disease carrying flies d pests and enables safe and appropriate treatment and or removal of human waste and wastewater in an environmentally sound manner,What is a basic sanitation facility??
Basic sanitation service is The provision of basic sanitation facility which is easily accessible to household the sustainable operation of the facility including the safe removal of human waste and wastewater from the premises where this is appropriate and ecessary and the communication of good sanitation hygiene and related practices,What is a basic sanitation service??
Potable water quality is Water supplied by water services providers intended to be used for drinking or domestic purposes potable water must be of quality consistent with SANS Specifications for Drinking Water as may be amended from time to time,What is potable water quality??
Where appropriate water services providers should consider the benefits of offering households controlled flow connections for example yard tanks that can provide basic supply of water cost effectively,What is a controlled flow connection??
Where pre payment meters are installed these must take into account the free basic water services policy and allow for access to basic amount of water at zero tariff,What is a pre payment meter??
Eradication of bucket toilets The bucket system is an unsuitable and inappropriate level of service,What is a bucket system??
Project development life cycle A typical project development life cycle consists of the following phases Establishment of institutional arrangements The designated municipality is the water services authority and is responsible for water services provision,What is a typical project development life cycle??
The water services authority either contracts with water services provider or fulfils that function itself,What does the water services authority do??
Design phase The municipality procures the design consultant who designs the works and prepares the tender documentation or the municipality does it in house,What is the municipality doing in house??
Guidelines for the development of water and sanitation infrastructure Construction phase Execution of the works in accordance with the tender documentation under supervision Operations and maintenance The Water Services Provider operates and maintains the works with or without the assistance of contractors and collects the revenue,What is a Water Services Provider??
The Water Services Authority WSA monitors the Water Services Provider WSP and manages he contract that it has with the WSP,What is the Water Services Authority WSA??
Legislation affects all phases of development and for example stipulates requirements for taking water from the resource for the planning of water services how to determine institutional arrangements and th requirements for financial and other reporting,How to determine institutional arrangements and requirements for financial and other reporting?
The most important legislation and policy documents governing the development and operation of water services are uf Constitution of the Republic of South Africa Act of uf Water Services Act Act of uf National Water Act Act of uf Municipal Systems Act Act of uf Municipal Structures Act Act of uf Public Finance Management Act Act of uf Local Government Municipal Finance Management ct Act of uf Division of Revenue Act Enacted Annually uf Strategic Framework for Water Services September uf White Paper on Sanitation September uf Regulations under of the Water Services Act uf Regulations under of the Water Ser vices Act uf Regulations under of the Water Services Act uf Model Water Services Bylaws,What is the Water Services Act??
The full text of hese documents with the exception of the Red Book are included in the Legislation and Policy folder of the guidelines CD,What is included in the Legislation and Policy folder?
Most of these documents must be read with Acrobat Reader which is available on the Web Specific sections of these documents will al so be highlighted in the different sections of the Guidelines,What is Acrobat Reader??
Guidelines for the development of water and sanitation infrastructure INSTITUTIONAL ARRANG EMENTS Introduction The following institutions are responsible for the supply of water and sanitation services uf The Water Services Authority uf The Water Services Provide Sometimes Water Board or bulk water provider and uf The Department of Water Affairs and Forestry as regulator,What are the following institutions responsible for the supply of water and sanitation services??
For example DPLG manages the Municipal Infrastructure Grant and the Equit able Share and the Department of Health has an important function regarding health and hygiene and sanitation,What does the Department of Health do??
A Water Services Authority WSA is the municipality that has been designated responsibility for ensuring access to water services,What is a Water Services Authority WSA??
The WSA is oth the owner of the works and is the elected representative of the customers,What is the WSA's role as the customer representative??
A water services provider WSP is the person or organization that actually provides water services to consumers or to another water services institution,What is a water services provider WSP??
The WSA can either appoint WSP for example another municipality water board or private contractor or can fulfil the function itself,What is the function of the WSA??
model Terms of Reference for Assessment has been developed by the Municipal Infrastructure Unit MIU which is associated with BSA,What is the Municipal Infrastructure Unit MIU??
This model Terms of Reference is included in the Institutional Folder,What is the Institutional Folder??
S of the Water Services Act sets out requirements that must be complied with when WSA contracts with WSP,What are the requirements that must be complied with when WSA contracts with WSP?
The Minister has promulgated regulations under of the Water Ser vices Act which sets out the minimum requirements with which contract between WSA and WSP must comply,What is the Water Ser vices Act??
Even if the WSA fulfils the WSP function itself it should account separately for water services it should Guidelines for the development of water and sanitation infrastructure uf keep separate financial accounts of how much was spent on or invested in water services during each financial year uf the revenue it received from the sale of water services uf funds received from National Government and ther sources that were allocated to water services etc,How much was spent on or invested in water services during each financial year?
Bylaws and other requirements S of the Water Services Act requires that WSAs must make bylaws which contain conditions for water services,What is the Water Services Act??
Model Bylaws that comply with the requirements of of the Water Services Act are included in the Legislative and Policy Folder,What is the Water Services Act??
Guidelines for the development of water and sanitation infrastructure PLANNING Introduction Water and sanitation projects are essentially planned at three levels uf At the ation al level the Department of Water Affairs and Forestry DWAF maintains ational reference framework uf At municipal level each Water Services Authority WSA compiles and regularly updates Water Services Development Plan WSDP and uf At project level each WSA undertakes feasibility study for each project and compiles technical report,What are the Guidelines for the development of water and sanitation infrastructure??
This hierarchy of plans are discussed below National reference plan The Department of Water Affairs and Forestry is required to comment on the Water Services Deve lopment Plans WSDP of each WSA and to ensure that all current and projected activities are compatible with the ational strategies,What is the Department of Water Affairs and Forestry??
To enable common framework for assessing WSDPs National Reference Plan is being developed which will capture the ess ence of each WSDP in one common structure that relates water services planning to the National Water Resource Strategy Catchment Management Strategies together with water allocations and licensing Provincial Strategies and IDPs,What is the National Water Resource Strategy Catchment Management Strategies??
The reference framewor will cover the following topics uf General Locality map and Demographics uf Physical Socio Economic Development uf Water resource availability allocation and licensing uf Service Level Development uf Water Resource Development uf Water Conservation Demand Man agement uf Water Services Infrastructure uf Water Services Authority Institutional Arrangement uf Customer Services uf Financial Profile and uf Project Development,What are the topics covered in the reference framewor??
Municipalities will eed to cross reference their plans to the National Reference Framework in order to integrate their own planning with other developments being undertaken in surrounding areas,What is the National Reference Framework??
These sections describe how to develop and adopt WSDP and sets out the contents of the WSDP,How to develop and adopt WSDP and sets out the contents?
Whilst the WSDP is legal requirement the real value of preparing WSD lies in the development of plan whereby the key municipal water services targets are set for five year period,What is the real value of preparing WSD??
The WSDP forms subset of and must be aligned to the municipality Integrated Development Plan IDP,What is the WSDP??
These Guidelines provide basic information about the WSDP as well as specific information on how to prepare the WSDP,How to prepare the WSDP?
Feasibility studies and technical reports The aim of Water Services projects funded by municipalities out of government grants is primarily to provide basic level of services to the poorer residents of the municipality,What is the aim of Water Services projects funded by municipalities out of government grants??
However municipalities are still required to plan for projects feasibility studies and to submit Water Services Project Technical Report to the appropriate DWAF Office for recommendation before releasing funds for water services proje cts,What are municipalities still required to plan for projects feasibility studies and to submit Water Services Project Technical Report?
Essentially the Water Services Project Technical Report Technical Report comprises description of the following elements of the project uf Population uf Water consum ption uf Existing works uf Water source uf Proposed works uf Supply pipelines and pump systems Guidelines for the development of water and sanitation infrastructure uf Service reservoirs uf Water purification works uf Distribution etwork uf Estimated cost of integral parts uf Unit cost of water uf Viability acceptability and sustainability of propos ed project uf Legal requirements The format of the Water Services Project Technical Report is shown in the table below FORMAT OF WATER SERVICES PROJECT TECHNICAL REPORT Introduction Name the engineering reports from which the report was compiled,What is the Water Services Project Technical Report??
The socio economic activities of the communi ty with much emphasis on the development prospects that can be realistically expected of the area as well as the climatic factors and their influence on the water consumption,What can be realistically expected of the area?
General ature and extent of the problem with regard to the water supply,What is the problem with regard to the water supply??
Existing works concise description of the existing works in which the relevant storage capacities yield capacities distances and heights are reflected and preferably it should be further illustrated by means of site map or diagrammatic sketch plan,What are the relevant storage capacities yield capacities??
In respect of the particular component of the works that has to be improved more detail should be included whereas more general detail on the remaining elements will suffice although the extent condition and effectiveness thereof should be indica ted,What should be included in the particular component of the works that has to be improved??
Briefly the extent of the works is as follows Existing Water source From own sources boreholes reservoirs and or abstraction from public Guidelines for the development of water and sanitation infrastructure streams,What is the extent of the works??
Existing Service reservoirs Location volume condition and expected useful life and adequacy,What is the expected useful life and adequacy of reservoirs??
Existing Water purification works General dimensions type of treatment yield capacity and adequacy,What is a water purification work??
uf Is the bulk supply to the different communities being metered,What is the difference between the different communities being metered??
This estimate should be approached cautiously taking into account all pertinent factors in comparison with the historical growth and accompanying socio economic circumstances,What is the difference between this estimate and historical growth and socio economic circumstances??
Guidelines for the development of water and sanitation infrastructure Where available the official information for the past years for the supply area of the water scheme should be provided,Where available the official information for the past years for the supply area of the water scheme should be provided?
If the supply area varies from the census area or if the census returns do ot correspond with the area own surveys the latter figures should also be provided,What is the supply area if the census returns do not correspond with the area own surveys?
If o figures are available judicial estimate should be made of the present population based on known items such as number of houses etc,What is a judicial estimate of the present population??
Water consumption The condi tions and particulars of the water consumption over at least the preceding five years should be provided,What is the water consumption over at least the preceding five years??
The projection of the ex pected water eeds should be compiled from various parameters that have an effect on the water consumption Historical water consumption the unit consumption population projection water consumption of the business centre water consum ption of the industrial area schools hostels old age homes army complex etc,What is the projection of the ex pected water needs??
If the losses in system are higher than say an accurate loss analysis ought to be done on the system and climatic factors,What is a loss analysis??
In item attention should also be given to the expected increase in unit consumption taking place as result of the improvement in living standards,What is the expected increase in unit consumption??
The estimates of the future water eeds should be calculated in stages of five years over the ext years and where applicable the expected peak consumption should also be shown,What are the estimates of the future water eeds??
An example of a table that can be used in calculating the projected future water consumptions is give below,What is a table that can be used in calculating the projected future water consumptions??
If the source is a storage dam or if one is being developed the basic data of the dam should be furnished the assured yield mean annual runoff size of catchment area and storage capacity of the dam basin,What is the assured yield mean annual runoff size of catchment area and storage capacity of the dam basin?
In respect of boreh oles the dependable yield of the various sources should be provided and for existing boreholes their performance during dry periods should be mentioned,What is the dependable yield of the various sources??
Where water sources are shared with other consumers the apportionment water rights agreements perm its water court orders servitudes tariffs etc,What are the apportionment water rights agreements??
Where the water source is being further developed proper hydrological and or geohydrological reports should be compiled,Where the water source is being further developed?
For ew schemes the necessary permits water court order servitudes etc,What are the necessary permits for ew schemes??
Proposed works In the introductory paragraph concise explanation should be given of the reasons for deciding on the water scheme or works in question,What is the water scheme or works in question??
Where applicable it should be done on the basis of information obtained from an economic study or evaluation of alternatives weighed up against each other,What is an economic study or evaluation of alternatives weighed up against each other?
The reader should be convinced that the proposed works represent the most favourable alternative and that works must indeed ow be constructed,What is the most favourable alternative??
